Property_name,Location,Region,Availability,Plot_area,Rate_SqFt,Bedroom,Bathroom,Price_Lakh
Mirashi Nagar,"Mirashi Nagar, Kanjurmarg East",Kanjurmarg East,Ready To Move,225.0,26666.0,1,1,60.0
Vikhroli Park Site,"Vikhroli Park Site, Mumbai",Mumbai,Ready To Move,1200.0,6666.0,3,2,80.0
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,500.0,12400.0,2,2,62.0
Chikuwadi,"Chikuwadi, Malad West",Malad West,Ready To Move,370.0,8108.0,1,1,30.0
Bhagat Singh 2,"gh 2, Goregaon West",Goregaon West,Ready To Move,570.0,6140.0,3,2,35.0
Narsi Pada,"Narsi Pada, Kandivali East",Kandivali East,Ready To Move,110.0,22727.0,1,1,25.0
Khar West,"Khar West, Mumbai",Mumbai,Ready To Move,1614.0,41806.0,3,2,675.0
Kamgar Nagar,"Kamgar Nagar, Kurla, Mumbai",Kurla,Ready To Move,1100.0,14062.0,4,4,450.0
Vikhroli West,"Vikhroli West, Mumbai",Mumbai,Ready To Move,1400.0,15000.0,4,3,210.0
Motilal Nagar 1,"Motilal Nagar 1, Goregaon West",Goregaon West,Ready To Move,1000.0,19000.0,2,1,200.0
Malad East,"Malad East, Mumbai",Mumbai,Ready To Move,230.0,41304.0,3,3,95.0
Asalpha,"Asalpha, Mumbai",Mumbai,Ready To Move,180.0,15555.0,2,2,28.0
Sector 1 Charkop,"Sector 1 Charkop, Kandivali West",Kandivali West,Ready To Move,250.0,14615.0,2,3,95.0
Rajawadi Colony,"Rajawadi Colony, Vidyavihar, Mumbai",Vidyavihar,Ready To Move,5000.0,20000.0,7,8,1000.0
Siddharth Nagar,"Siddharth Nagar, Goregaon, Goregaon West",Goregaon,Ready To Move,1000.0,40000.0,4,3,400.0
Gaon Devi,"Gaon Devi, Bhandup West",Bhandup West,Ready To Move,800.0,7468.0,3,2,59.8
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,900.0,10000.0,2,2,90.0
Karjat,"Karjat, Thane",Thane,Ready To Move,5450.0,4220.0,4,5,230.0
Malad West,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Eden Gardens Bungalows,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Ghatkopar,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Chembur,"Chembur, Mumbai",Mumbai,Ready To Move,3000.0,26666.0,4,4,800.0
Sher E Punjab Colony,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Vakola,"Vakola, Santacruz East",Santacruz East,Ready To Move,150.0,10333.0,1,1,15.5
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,600.0,6333.0,4,4,38.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,2,30.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,1,30.0
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,300.0,14000.0,1,2,42.0
Mirashi Nagar,"Mirashi Nagar, Kanjurmarg East",Kanjurmarg East,Ready To Move,225.0,26666.0,1,1,60.0
Vikhroli Park Site,"Vikhroli Park Site, Mumbai",Mumbai,Ready To Move,1200.0,6666.0,3,2,80.0
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,500.0,12400.0,2,2,62.0
Chikuwadi,"Chikuwadi, Malad West",Malad West,Ready To Move,370.0,8108.0,1,1,30.0
Bhagat Singh 2,"gh 2, Goregaon West",Goregaon West,Ready To Move,570.0,6140.0,3,2,35.0
Narsi Pada,"Narsi Pada, Kandivali East",Kandivali East,Ready To Move,110.0,22727.0,1,1,25.0
Khar West,"Khar West, Mumbai",Mumbai,Ready To Move,1614.0,41806.0,3,2,675.0
Kamgar Nagar,"Kamgar Nagar, Kurla, Mumbai",Kurla,Ready To Move,1100.0,14062.0,4,4,450.0
Vikhroli West,"Vikhroli West, Mumbai",Mumbai,Ready To Move,1400.0,15000.0,4,3,210.0
Motilal Nagar 1,"Motilal Nagar 1, Goregaon West",Goregaon West,Ready To Move,1000.0,19000.0,2,1,200.0
Malad East,"Malad East, Mumbai",Mumbai,Ready To Move,230.0,41304.0,3,3,95.0
Asalpha,"Asalpha, Mumbai",Mumbai,Ready To Move,180.0,15555.0,2,2,28.0
Sector 1 Charkop,"Sector 1 Charkop, Kandivali West",Kandivali West,Ready To Move,250.0,14615.0,2,3,95.0
Rajawadi Colony,"Rajawadi Colony, Vidyavihar, Mumbai",Vidyavihar,Ready To Move,5000.0,20000.0,7,8,1000.0
Siddharth Nagar,"Siddharth Nagar, Goregaon, Goregaon West",Goregaon,Ready To Move,1000.0,40000.0,4,3,400.0
Gaon Devi,"Gaon Devi, Bhandup West",Bhandup West,Ready To Move,800.0,7468.0,3,2,59.8
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,900.0,10000.0,2,2,90.0
Karjat,"Karjat, Thane",Thane,Ready To Move,5450.0,4220.0,4,5,230.0
Malad West,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Eden Gardens Bungalows,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Ghatkopar,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Chembur,"Chembur, Mumbai",Mumbai,Ready To Move,3000.0,26666.0,4,4,800.0
Sher E Punjab Colony,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Vakola,"Vakola, Santacruz East",Santacruz East,Ready To Move,150.0,10333.0,1,1,15.5
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,600.0,6333.0,4,4,38.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,2,30.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,1,30.0
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,300.0,14000.0,1,2,42.0
Mirashi Nagar,"Mirashi Nagar, Kanjurmarg East",Kanjurmarg East,Ready To Move,225.0,26666.0,1,1,60.0
Vikhroli Park Site,"Vikhroli Park Site, Mumbai",Mumbai,Ready To Move,1200.0,6666.0,3,2,80.0
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,500.0,12400.0,2,2,62.0
Chikuwadi,"Chikuwadi, Malad West",Malad West,Ready To Move,370.0,8108.0,1,1,30.0
Bhagat Singh 2,"gh 2, Goregaon West",Goregaon West,Ready To Move,570.0,6140.0,3,2,35.0
Narsi Pada,"Narsi Pada, Kandivali East",Kandivali East,Ready To Move,110.0,22727.0,1,1,25.0
Khar West,"Khar West, Mumbai",Mumbai,Ready To Move,1614.0,41806.0,3,2,675.0
Kamgar Nagar,"Kamgar Nagar, Kurla, Mumbai",Kurla,Ready To Move,1100.0,14062.0,4,4,450.0
Vikhroli West,"Vikhroli West, Mumbai",Mumbai,Ready To Move,1400.0,15000.0,4,3,210.0
Motilal Nagar 1,"Motilal Nagar 1, Goregaon West",Goregaon West,Ready To Move,1000.0,19000.0,2,1,200.0
Malad East,"Malad East, Mumbai",Mumbai,Ready To Move,230.0,41304.0,3,3,95.0
Asalpha,"Asalpha, Mumbai",Mumbai,Ready To Move,180.0,15555.0,2,2,28.0
Sector 1 Charkop,"Sector 1 Charkop, Kandivali West",Kandivali West,Ready To Move,250.0,14615.0,2,3,95.0
Rajawadi Colony,"Rajawadi Colony, Vidyavihar, Mumbai",Vidyavihar,Ready To Move,5000.0,20000.0,7,8,1000.0
Siddharth Nagar,"Siddharth Nagar, Goregaon, Goregaon West",Goregaon,Ready To Move,1000.0,40000.0,4,3,400.0
Gaon Devi,"Gaon Devi, Bhandup West",Bhandup West,Ready To Move,800.0,7468.0,3,2,59.8
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,900.0,10000.0,2,2,90.0
Karjat,"Karjat, Thane",Thane,Ready To Move,5450.0,4220.0,4,5,230.0
Malad West,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Eden Gardens Bungalows,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Ghatkopar,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Chembur,"Chembur, Mumbai",Mumbai,Ready To Move,3000.0,26666.0,4,4,800.0
Sher E Punjab Colony,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Vakola,"Vakola, Santacruz East",Santacruz East,Ready To Move,150.0,10333.0,1,1,15.5
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,600.0,6333.0,4,4,38.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,2,30.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,1,30.0
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,300.0,14000.0,1,2,42.0
Mirashi Nagar,"Mirashi Nagar, Kanjurmarg East",Kanjurmarg East,Ready To Move,225.0,26666.0,1,1,60.0
Vikhroli Park Site,"Vikhroli Park Site, Mumbai",Mumbai,Ready To Move,1200.0,6666.0,3,2,80.0
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,500.0,12400.0,2,2,62.0
Chikuwadi,"Chikuwadi, Malad West",Malad West,Ready To Move,370.0,8108.0,1,1,30.0
Bhagat Singh 2,"gh 2, Goregaon West",Goregaon West,Ready To Move,570.0,6140.0,3,2,35.0
Narsi Pada,"Narsi Pada, Kandivali East",Kandivali East,Ready To Move,110.0,22727.0,1,1,25.0
Khar West,"Khar West, Mumbai",Mumbai,Ready To Move,1614.0,41806.0,3,2,675.0
Kamgar Nagar,"Kamgar Nagar, Kurla, Mumbai",Kurla,Ready To Move,1100.0,14062.0,4,4,450.0
Vikhroli West,"Vikhroli West, Mumbai",Mumbai,Ready To Move,1400.0,15000.0,4,3,210.0
Motilal Nagar 1,"Motilal Nagar 1, Goregaon West",Goregaon West,Ready To Move,1000.0,19000.0,2,1,200.0
Malad East,"Malad East, Mumbai",Mumbai,Ready To Move,230.0,41304.0,3,3,95.0
Asalpha,"Asalpha, Mumbai",Mumbai,Ready To Move,180.0,15555.0,2,2,28.0
Sector 1 Charkop,"Sector 1 Charkop, Kandivali West",Kandivali West,Ready To Move,250.0,14615.0,2,3,95.0
Rajawadi Colony,"Rajawadi Colony, Vidyavihar, Mumbai",Vidyavihar,Ready To Move,5000.0,20000.0,7,8,1000.0
Siddharth Nagar,"Siddharth Nagar, Goregaon, Goregaon West",Goregaon,Ready To Move,1000.0,40000.0,4,3,400.0
Gaon Devi,"Gaon Devi, Bhandup West",Bhandup West,Ready To Move,800.0,7468.0,3,2,59.8
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,900.0,10000.0,2,2,90.0
Karjat,"Karjat, Thane",Thane,Ready To Move,5450.0,4220.0,4,5,230.0
Malad West,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Eden Gardens Bungalows,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Ghatkopar,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Chembur,"Chembur, Mumbai",Mumbai,Ready To Move,3000.0,26666.0,4,4,800.0
Sher E Punjab Colony,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Vakola,"Vakola, Santacruz East",Santacruz East,Ready To Move,150.0,10333.0,1,1,15.5
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,600.0,6333.0,4,4,38.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,2,30.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,1,30.0
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,300.0,14000.0,1,2,42.0
Mirashi Nagar,"Mirashi Nagar, Kanjurmarg East",Kanjurmarg East,Ready To Move,225.0,26666.0,1,1,60.0
Vikhroli Park Site,"Vikhroli Park Site, Mumbai",Mumbai,Ready To Move,1200.0,6666.0,3,2,80.0
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,500.0,12400.0,2,2,62.0
Chikuwadi,"Chikuwadi, Malad West",Malad West,Ready To Move,370.0,8108.0,1,1,30.0
Bhagat Singh 2,"gh 2, Goregaon West",Goregaon West,Ready To Move,570.0,6140.0,3,2,35.0
Narsi Pada,"Narsi Pada, Kandivali East",Kandivali East,Ready To Move,110.0,22727.0,1,1,25.0
Khar West,"Khar West, Mumbai",Mumbai,Ready To Move,1614.0,41806.0,3,2,675.0
Kamgar Nagar,"Kamgar Nagar, Kurla, Mumbai",Kurla,Ready To Move,1100.0,14062.0,4,4,450.0
Vikhroli West,"Vikhroli West, Mumbai",Mumbai,Ready To Move,1400.0,15000.0,4,3,210.0
Motilal Nagar 1,"Motilal Nagar 1, Goregaon West",Goregaon West,Ready To Move,1000.0,19000.0,2,1,200.0
Malad East,"Malad East, Mumbai",Mumbai,Ready To Move,230.0,41304.0,3,3,95.0
Asalpha,"Asalpha, Mumbai",Mumbai,Ready To Move,180.0,15555.0,2,2,28.0
Sector 1 Charkop,"Sector 1 Charkop, Kandivali West",Kandivali West,Ready To Move,250.0,14615.0,2,3,95.0
Rajawadi Colony,"Rajawadi Colony, Vidyavihar, Mumbai",Vidyavihar,Ready To Move,5000.0,20000.0,7,8,1000.0
Siddharth Nagar,"Siddharth Nagar, Goregaon, Goregaon West",Goregaon,Ready To Move,1000.0,40000.0,4,3,400.0
Gaon Devi,"Gaon Devi, Bhandup West",Bhandup West,Ready To Move,800.0,7468.0,3,2,59.8
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,900.0,10000.0,2,2,90.0
Karjat,"Karjat, Thane",Thane,Ready To Move,5450.0,4220.0,4,5,230.0
Malad West,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Eden Gardens Bungalows,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Ghatkopar,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Chembur,"Chembur, Mumbai",Mumbai,Ready To Move,3000.0,26666.0,4,4,800.0
Sher E Punjab Colony,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Vakola,"Vakola, Santacruz East",Santacruz East,Ready To Move,150.0,10333.0,1,1,15.5
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,600.0,6333.0,4,4,38.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,2,30.0
Marve Road,"Marve Road, Malad West",Malad West,Ready To Move,420.0,7142.0,1,1,30.0
Ghatkopar West,"Ghatkopar West, Mumbai",Mumbai,Ready To Move,300.0,14000.0,1,2,42.0
Mirashi Nagar,"Mirashi Nagar, Kanjurmarg East",Kanjurmarg East,Ready To Move,225.0,26666.0,1,1,60.0
Vikhroli Park Site,"Vikhroli Park Site, Mumbai",Mumbai,Ready To Move,1200.0,6666.0,3,2,80.0
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,500.0,12400.0,2,2,62.0
Chikuwadi,"Chikuwadi, Malad West",Malad West,Ready To Move,370.0,8108.0,1,1,30.0
Bhagat Singh 2,"gh 2, Goregaon West",Goregaon West,Ready To Move,570.0,6140.0,3,2,35.0
Narsi Pada,"Narsi Pada, Kandivali East",Kandivali East,Ready To Move,110.0,22727.0,1,1,25.0
Khar West,"Khar West, Mumbai",Mumbai,Ready To Move,1614.0,41806.0,3,2,675.0
Kamgar Nagar,"Kamgar Nagar, Kurla, Mumbai",Kurla,Ready To Move,1100.0,14062.0,4,4,450.0
Vikhroli West,"Vikhroli West, Mumbai",Mumbai,Ready To Move,1400.0,15000.0,4,3,210.0
Motilal Nagar 1,"Motilal Nagar 1, Goregaon West",Goregaon West,Ready To Move,1000.0,19000.0,2,1,200.0
Malad East,"Malad East, Mumbai",Mumbai,Ready To Move,230.0,41304.0,3,3,95.0
Asalpha,"Asalpha, Mumbai",Mumbai,Ready To Move,180.0,15555.0,2,2,28.0
Sector 1 Charkop,"Sector 1 Charkop, Kandivali West",Kandivali West,Ready To Move,250.0,14615.0,2,3,95.0
Rajawadi Colony,"Rajawadi Colony, Vidyavihar, Mumbai",Vidyavihar,Ready To Move,5000.0,20000.0,7,8,1000.0
Siddharth Nagar,"Siddharth Nagar, Goregaon, Goregaon West",Goregaon,Ready To Move,1000.0,40000.0,4,3,400.0
Gaon Devi,"Gaon Devi, Bhandup West",Bhandup West,Ready To Move,800.0,7468.0,3,2,59.8
Gorai 1,"Gorai 1, Borivali West",Borivali West,Ready To Move,900.0,10000.0,2,2,90.0
Karjat,"Karjat, Thane",Thane,Ready To Move,5450.0,4220.0,4,5,230.0
Malad West,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Eden Gardens Bungalows,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
Ghatkopar,,Mumbai,Ready To Move,1110.8668076109936,16641.06553911205,1,2,80.0
